"EntrezID","Symbol","Synonyms","length"
162,"AP1B1","ADTB1|AP105A|BAM22|CLAPB2",4201
163,"AP2B1","ADTB2|AP105B|AP2-BETA|CLAPB1",5785
164,"AP1G1","ADTG|CLAPG1",6872
165,"AEBP1","ACLP",4107
166,"AES","AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5",1951
167,"CRISP1","AEGL1|ARP|CRISP-1|HSCRISP1D|HSCRISP1G|HUMARP",1976
169,"AF8T",NA,NA
170,"AFA",NA,NA
171,"AFD1","AFDN",NA
172,"AFG3L1P","AFG3|AFG3L1",3917
173,"AFM","ALB2|ALBA|ALF",2012
174,"AFP","AFPD|FETA|HPAFP",2054
175,"AGA","AGU|ASRG|GA",2111
176,"ACAN","AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK",8858
177,"AGER","RAGE",12894
178,"AGL","GDE",8253
179,"AGMX2","IMD6|XLA2",NA
181,"AGRP","AGRT|ART|ASIP2",768
182,"JAG1","AGS|AHD|AWS|CD339|HJ1|JAGL1",6013
183,"AGT","ANHU|SERPINA8",2586
185,"AGTR1","AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R",2576
186,"AGTR2","AT2|ATGR2|MRX88",2902
187,"APLNR","AGTRL1|APJ|APJR|HG11",3877
189,"AGXT","AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6",1609
190,"NR0B1","AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2",1587
191,"AHCY","SAHH|adoHcyase",2549
192,"AIC",NA,NA
196,"AHR","bHLHe76",6258
197,"AHSG","A2HS|AHS|FETUA|HSGA",1580
199,"AIF1","AIF-1|IBA1|IRT-1|IRT1",9330
201,"AIH3",NA,NA
202,"AIM1","CRYBG1|ST4",7562
203,"AK1","HTL-S-58j",2273
204,"AK2","ADK2|AK 2",5779
205,"AK4","AK 4|AK3|AK3L1|AK3L2",7233
206,"AK4P1","AK3P1",NA
207,"AKT1","AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA",3263
208,"AKT2","HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA",5314
210,"ALAD","ALADH|PBGS",3195
211,"ALAS1","ALAS|ALAS-H|ALAS3|ALASH|MIG4",2464
212,"ALAS2","ALAS-E|ALASE|ANH1|ASB|XLDPP|XLEPP|XLSA",2146
213,"ALB","ANALBA|FDAH|PRO0883|PRO0903|PRO1341",2262
214,"ALCAM","CD166|MEMD",6389
215,"ABCD1","ABC42|ALD|ALDP|AMN",3674
216,"ALDH1A1","ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1",2382
217,"ALDH2","ALDH-E2|ALDHI|ALDM",2073
218,"ALDH3A1","ALDH3|ALDHIII",2267
219,"ALDH1B1","ALDH5|ALDHX",3072
220,"ALDH1A3","ALDH1A6|ALDH6|MCOP8|RALDH3",3620
221,"ALDH3B1","ALDH4|ALDH7",2993
222,"ALDH3B2","ALDH8",2700
223,"ALDH9A1","ALDH4|ALDH7|ALDH9|E3|TMABADH",2511
224,"ALDH3A2","ALDH10|FALDH|SLS",3838
225,"ABCD2","ABC39|ALDL1|ALDR|ALDRP|hALDR",5351
226,"ALDOA","ALDA|GSD12|HEL-S-87p",3239
228,"ALDOAP2",NA,NA
229,"ALDOB","ALDB|ALDO2",2435
230,"ALDOC","ALDC",1660
231,"AKR1B1","ADR|ALDR1|ALR2|AR",1408
236,"AKR1B1P2","ALDRP",NA
238,"ALK","CD246|NBLST3",6294
239,"ALOX12","12-LOX|12S-LOX|LOG12",2372
240,"ALOX5","5-LO|5-LOX|5LPG|LOG5",2575
241,"ALOX5AP","FLAP",1276
242,"ALOX12B","12R-LOX|ARCI2",2517
243,"ALOX12P1","ALOX12P",NA
245,"ALOX12P2","ALOX12E",3011
246,"ALOX15","12-LOX|15-LOX-1|15LOX-1",2698
247,"ALOX15B","15-LOX-2",2729
248,"ALPI","IAP",3285
249,"ALPL","AP-TNAP|APTNAP|HOPS|TNAP|TNSALP",2608
250,"ALPP","ALP|PALP|PLAP|PLAP-1",2982
251,"ALPPL2","ALPG|ALPPL|GCAP",2505
253,"ALS3","ALS6",NA
255,"ALS5",NA,NA
257,"ALX3","FND|FND1",1482
258,"AMBN","AI1F",2015
259,"AMBP","A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI",1443
261,"AMCN","AMC|AMC1|AMCN1",NA
262,"AMD1","ADOMETDC|AMD|SAMDC",3628
263,"AMD1P2","AMD|AMD2|AMDP1|AMDPX|AMDPY",NA
265,"AMELX","AI1E|AIH1|ALGN|AMG|AMGL|AMGX",842
266,"AMELY","AMGL|AMGY",808
267,"AMFR","GP78|RNF45",3614
268,"AMH","MIF|MIS",2023
269,"AMHR2","AMHR|MISR2|MISRII|MRII",1874
270,"AMPD1","MAD|MADA|MMDD",2422
271,"AMPD2","PCH9|SPG63",4791
272,"AMPD3",NA,5678
273,"AMPH","AMPH1",3447
274,"BIN1","AMPH2|AMPHL|SH3P9",2734
275,"AMT","GCE|GCST|GCVT|NKH",2211
276,"AMY1A","AMY1",6102
277,"AMY1B","AMY1",5547
278,"AMY1C","AMY1",5613
279,"AMY2A","AMY2|PA",1689
280,"AMY2B","AMY2|AMY3|HXA",2254
281,"AMYP1","AMY2P",NA
282,"ANCR",NA,NA
283,"ANG","ALS9|HEL168|RAA1|RNASE4|RNASE5",1327
284,"ANGPT1","AGP1|AGPT|ANG1",4347
285,"ANGPT2","AGPT2|ANG2",5276
286,"ANK1","ANK|SPH1|SPH2",9327
287,"ANK2","ANK-2|LQT4|brank-2",14570
288,"ANK3","ANKYRIN-G|MRT37",18893
289,"ANOP1","MCOPS4",NA
290,"ANPEP","APN|CD13|GP150|LAP1|P150|PEPN",3671
291,"SLC25A4","AAC1|ANT|ANT 1|ANT1|MTDPS12|PEO2|PEO3|T1",4424
292,"SLC25A5","2F1|AAC2|ANT2|T2|T3",1355
293,"SLC25A6","AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y",2976
301,"ANXA1","ANX1|LPC1",1549
302,"ANXA2","ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV",1827
303,"ANXA2P1","ANX2L1|ANX2P1|LPC2A",1344
304,"ANXA2P2","ANX2L2|ANX2P2|LPC2B",1311
305,"ANXA2P3","ANX2L3|ANX2P3|LIP2|LPC2C",1351
306,"ANXA3","ANX3",1631
307,"ANXA4","ANX4|HEL-S-274|PIG28|ZAP36",2155
308,"ANXA5","ANX5|ENX2|HEL-S-7|PP4|RPRGL3",1612
309,"ANXA6","ANX6|CBP68",3142
310,"ANXA7","ANX7|SNX|SYNEXIN",2218
311,"ANXA11","ANX11|CAP50",3649
312,"ANXA13","ANX13|ISA",1605
313,"AOAH",NA,2579
314,"AOC2","DAO2|RAO",2669
316,"AOX1","AO|AOH1",4968
317,"APAF1","APAF-1|CED4",7218
318,"NUDT2","APAH1",1080
319,"APOF","Apo-F|LTIP",1691
320,"APBA1","D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA",6597
321,"APBA2","D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L",3651
322,"APBB1","FE65|MGC:9072|RIR",3634
323,"APBB2","FE65L|FE65L1",9208
324,"APC","BTPS2|DP2|DP2.5|DP3|GS|PPP1R46",11234
325,"APCS","HEL-S-92n|PTX2|SAP",933
326,"AIRE","AIRE1|APECED|APS1|APSI|PGA1",2313
327,"APEH","AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH",2780
328,"APEX1","APE|APE1|APEN|APEX|APX|HAP1|REF1",1558
329,"BIRC2","API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1",4274
330,"BIRC3","AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2",6921
331,"XIAP","API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3",8553
332,"BIRC5","API4|EPR-1",2705
333,"APLP1","APLP",2467
334,"APLP2","APLP-2|APPH|APPL2|CDEBP",4011
335,"APOA1",NA,901
336,"APOA2","Apo-AII|ApoA-II|apoAII",477
337,"APOA4",NA,1463
338,"APOB","FLDB|LDLCQ4",14150
339,"APOBEC1","APOBEC-1|BEDP|CDAR1|HEPR",909
341,"APOC1","Apo-CI|ApoC-I",465
342,"APOC1P1",NA,942
343,"AQP8","AQP-8",1314
344,"APOC2","APO-CII|APOC-II",733
345,"APOC3","APOCIII|HALP2",537
346,"APOC4","APO-CIV|APOC-IV",618
347,"APOD",NA,1135
348,"APOE","AD2|APO-E|LDLCQ5|LPG",1466
350,"APOH","B2G1|B2GP1|BG",1209
351,"APP","AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2",4035
353,"APRT","AMP|APRTD",812
354,"KLK3","APS|KLK2A1|PSA|hK3",1911
355,"FAS","ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6",2698
356,"FASLG","ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6",1900
357,"SHROOM2","APXL|HSAPXL",7455
358,"AQP1","AQP-CHIP|CHIP28|CO",3178
359,"AQP2","AQP-CD|WCH-CD",4183
360,"AQP3","AQP-3|GIL",1877
361,"AQP4","HMIWC2|MIWC",5222
362,"AQP5","AQP-5|PPKB",1829
363,"AQP6","AQP2L|KID",2658
364,"AQP7","AQP7L|AQP9|AQPap|GLYCQTL",1264
366,"AQP9","AQP-9|HsT17287|SSC1",3027
367,"AR","AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM",10847
368,"ABCC6","ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7",5610
369,"ARAF","A-RAF|ARAF1|PKS2|RAFA1",3145
372,"ARCN1","COPD",4025
373,"TRIM23","ARD1|ARFD1|RNF46",3911
374,"AREG","AR|AREGB|CRDGF|SDGF",2564
375,"ARF1",NA,2204
377,"ARF3",NA,3542
378,"ARF4","ARF2",1746
379,"ARL4D","ARF4L|ARL6",1587
380,"ARF4P1","ARF4P",NA
381,"ARF5",NA,1102
382,"ARF6",NA,3941
383,"ARG1",NA,1504
384,"ARG2",NA,1988
387,"RHOA","ARH12|ARHA|RHO12|RHOH12",1926
388,"RHOB","ARH6|ARHB|MST081|MSTP081|RHOH6",2374
389,"RHOC","ARH9|ARHC|H9|RHOH9",1628
390,"RND3","ARHE|Rho8|RhoE|memB",2812
391,"RHOG","ARHG",1321
392,"ARHGAP1","CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP",3459
393,"ARHGAP4","C1|RGC1|RhoGAP4|SrGAP4|p115",3395
394,"ARHGAP5","GFI2|RhoGAP5|p190-B|p190BRhoGAP",9611
395,"ARHGAP6","RHOGAP6|RHOGAPX-1",6432
396,"ARHGDIA","GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1",2388
397,"ARHGDIB","D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2",1222
398,"ARHGDIG","RHOGDI-3",948
399,"RHOH","ARHH|TTF",3289
400,"ARL1","ARFL1",3247
401,"PHOX2A","ARIX|CFEOM2|FEOM2|NCAM2|PMX2A",1702
402,"ARL2","ARFL2",985
403,"ARL3","ARFL3",3880
405,"ARNT","HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2",4966
406,"ARNTL","BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5",2941
407,"ARR3","ARRX",1326
408,"ARRB1","ARB1|ARR1",7538
409,"ARRB2","ARB2|ARR2|BARR2",2041
410,"ARSA","MLD",4323
411,"ARSB","ASB|G4S|MPS6",6684
412,"STS","ARSC|ARSC1|ASC|ES|SSDD|XLI",6387
413,"ARSC2","ARSC",NA
414,"ARSD","ASD",5193
415,"ARSE","ASE|CDPX|CDPX1|CDPXR",2681
416,"ARSF","ASF",2362
417,"ART1","ART2|ARTC1|CD296|RT6",1317
418,"ART2P","ART1P|RT6",NA
419,"ART3","ARTC3",1741
420,"ART4","ARTC4|CD297|DO|DOK1",1374
421,"ARVCF",NA,4056
424,"ARVD3","ARVD2",NA
425,"ARVD4",NA,NA
427,"ASAH1","AC|ACDase|ASAH|PHP|PHP32|SMAPME",2978
429,"ASCL1","ASH1|HASH1|MASH1|bHLHa46",2486
430,"ASCL2","ASH2|HASH2|MASH2|bHLHa45",1851
431,"ASD1",NA,NA
432,"ASGR1","ASGPR|ASGPR1|CLEC4H1|HL-1",1512
433,"ASGR2","ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2",1553
434,"ASIP","AGSW|AGTI|AGTIL|ASP|SHEP9",587
435,"ASL","ASAL",2134
436,"ASLP1","ASLL",NA
438,"ASMT","ASMTY|HIOMT|HIOMTY",2858
439,"ASNA1","ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I",1287
440,"ASNS","ASNSD|TS11",2540
442,"ASNSP2","ASNSL2",NA
443,"ASPA","ACY2|ASP",1490
444,"ASPH","AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin",12064
445,"ASS1","ASS|CTLN1",1864
447,"ASS1P2","ASSP2",NA
449,"ASS1P4","ASSP4",NA
450,"ASS1P5","ASSP5",NA
451,"ASS1P6","ASSP6",NA
453,"ASS1P8","ASSP8",NA
454,"ASS1P9","ASSP9",NA
455,"ASS1P10","ASSP10",NA
459,"ASS1P14","ASSP14",NA
460,"ASTN1","ASTN",7729
462,"SERPINC1","AT3|AT3D|ATIII|THPH7",1606
463,"ZFHX3","ATBF1|ATBT|ZNF927",16179
465,"ATD","ATD1",NA
466,"ATF1","EWS-ATF1|FUS/ATF-1|TREB36",2512
467,"ATF3",NA,2551
468,"ATF4","CREB-2|CREB2|TAXREB67|TXREB",2029
469,"ATF4P1","ATF4P|TAXREB67P|TXREBP",NA
470,"ATHS","ALP",NA
471,"ATIC","AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH",2100
472,"ATM","AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1",13210
473,"RERE","ARG|ARP|ATN1L|DNB1",8346
474,"ATOH1","ATH1|HATH1|MATH-1|bHLHa14",1066
475,"ATOX1","ATX1|HAH1",493
476,"ATP1A1",NA,4325
477,"ATP1A2","FHM2|MHP2",5480
478,"ATP1A3","AHC2|CAPOS|DYT12|RDP",3735
479,"ATP12A","ATP1AL1",3757
480,"ATP1A4","ATP1A1|ATP1AL2",3977
481,"ATP1B1","ATP1B",2206
482,"ATP1B2","AMOG",3461
483,"ATP1B3","ATPB-3|CD298",1860
484,"ATP1B3P1",NA,NA
485,"ATP1B1P1","ATP1BL1",NA
486,"FXYD2","ATP1G1|HOMG2",676
487,"ATP2A1","ATP2A|SERCA1",3612
488,"ATP2A2","ATP2B|DAR|DD|SERCA2",8334
489,"ATP2A3","SERCA3",4908
490,"ATP2B1","PMCA1|PMCA1kb",6954
491,"ATP2B2","PMCA2|PMCA2a|PMCA2i",8985
492,"ATP2B3","CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1",6595
493,"ATP2B4","ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x",8942
495,"ATP4A","ATP6A",3581
496,"ATP4B","ATP6B",1504
498,"ATP5A1","ATP5A|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1",2441
501,"ALDH7A1","ATQ1|EPD|PDE",4954
504,"ATP5A1P2","ATP5AP2",NA
506,"ATP5B","ATPMB|ATPSB|HEL-S-271",1853
507,"ATP5BP1","ATP5BL1|ATPMBL1|ATPSBL1",NA
509,"ATP5C1","ATP5C|ATP5CL1",1156
513,"ATP5D",NA,1000
514,"ATP5E","ATPE|MC5DN3",442
515,"ATP5F1","PIG47",2108
516,"ATP5G1","ATP5A|ATP5G",651
517,"ATP5G2","ATP5A",1292
518,"ATP5G3","P3",3485
520,"ATP5G2P1","ATP5GP1",NA
521,"ATP5I","ATP5K",369
522,"ATP5J","ATP5|ATP5A|ATPM|CF6|F6",1300
523,"ATP6V1A","ATP6A1|ATP6V1A1|HO68|VA68|VPP2|Vma1",4608
525,"ATP6V1B1","ATP6B1|RTA1B|VATB|VMA2|VPP3",1953
526,"ATP6V1B2","ATP6B1B2|ATP6B2|HO57|VATB|VPP3|Vma2",3058
527,"ATP6V0C","ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3",1235
528,"ATP6V1C1","ATP6C|ATP6D|VATC|Vma5",5717
529,"ATP6V1E1","ATP6E|ATP6E2|ATP6V1E|P31|Vma4",1414
533,"ATP6V0B","ATP6F|HATPL|VMA16",2075
534,"ATP6V1G2","ATP6G|ATP6G2|NG38|VMA10",11242
535,"ATP6V0A1","ATP6N1|ATP6N1A|Stv1|VPP1|Vph1|a1",4183
537,"ATP6AP1","16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3",2110
538,"ATP7A","DSMAX|MK|MNK|SMAX3",8552
539,"ATP5O","ATPO|HMC08D05|OSCP",813
540,"ATP7B","PWD|WC1|WD|WND",6662
541,"ALDH7A1P1","ATQL1",NA
542,"ALDH7A1P2","ATQL2",NA
543,"ALDH7A1P3","ATQL3",NA
544,"ALDH7A1P4","ATQL4",NA
545,"ATR","FCTCS|FRP1|MEC1|SCKL|SCKL1",8298
546,"ATRX","ATR2|JMS|MRXHF1|RAD54|RAD54L|SFM1|SHS|XH2|XNP|ZNF-HX",11255
547,"KIF1A","ATSV|C2orf20|HSN2C|MRD9|SPG30|UNC104",9272
549,"AUH",NA,1643
550,"AUP1",NA,1922
551,"AVP","ADH|ARVP|AVP-NPII|AVRP|VP",622
552,"AVPR1A","AVPR V1a|AVPR1|V1aR",7833
553,"AVPR1B","AVPR3",1775
554,"AVPR2","ADHR|DI1|DIR|DIR3|NDI|V2R",2197
558,"AXL","ARK|JTK11|Tyro7|UFO",4921
560,"AZF1","AZF|AZFA|SP3",NA
563,"AZGP1","ZA2G|ZAG",1269
566,"AZU1","AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC",917
567,"B2M",NA,991
568,"B2MR",NA,NA
570,"BAAT","BACAT|BAT",3533
571,"BACH1","BACH-1|BTBD24",6881
572,"BAD","BBC2|BCL2L8",1227
573,"BAG1","BAG-1|HAP|RAP46",3879
574,"BAGE","BAGE1|CT2.1",956
575,"ADGRB1","BAI1|GDAIF",5558
576,"ADGRB2","BAI2",5473
577,"ADGRB3","BAI3",5669
578,"BAK1","BAK|BAK-LIKE|BCL2L7|CDN1",2199
579,"NKX3-2","BAPX1|NKX3.2|NKX3B|SMMD",2243
580,"BARD1",NA,5517
581,"BAX","BCL2L4",1312
582,"BBS1","BBS2L2",3387
583,"BBS2","BBS",2831
585,"BBS4",NA,2891
586,"BCAT1","BCATC|BCT1|ECA39|MECA39|PNAS121|PP18",10240
587,"BCAT2","BCAM|BCATM|BCT2|PP18",2092
590,"BCHE","CHE1|CHE2|E1",2451
593,"BCKDHA","BCKDE1A|MSU|MSUD1|OVD1A",1783
594,"BCKDHB","E1B|dJ279A18.1",3722
595,"CCND1","BCL1|D11S287E|PRAD1|U21B31",4294
596,"BCL2","Bcl-2|PPP1R50",6623
597,"BCL2A1","ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1",946
598,"BCL2L1","BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS",2562
599,"BCL2L2","BCL-W|BCL2-L-2|BCLW|PPP1R51",3662
600,"BAK1P1","BAK2|BCL2L7P1|Bak-2",NA
601,"BAK1P2","BAK3|BAK3P|BCL2L7P2",NA
602,"BCL3","BCL4|D19S37",1873
603,"BCL5",NA,NA
